cycle,time,q1,u1,q2,u2,total_energy,hip_x,hip_vx,hip_y,hip_vy
1,0.0000000000,-0.0100000000,-0.1000000000,-0.0100000000,-0.3000000000,1004.8643644351,0.0099998333,0.0999950000,0.9999500004,-0.0009999833
1,0.0505050505,-0.0150769077,-0.1010883979,-0.0251588996,-0.3002089303,1004.8643644351,0.0150763365,0.1010769087,0.9998863456,-0.0015240427
1,0.1010101010,-0.0202153027,-0.1024354133,-0.0403157318,-0.2999188237,1004.8643644351,0.0202139259,0.1024144835,0.9997956777,-0.0020706219
1,0.1515151515,-0.0254283297,-0.1040444416,-0.0554454165,-0.2991349573,1004.8643644351,0.0254255895,0.1040108059,0.9996767174,-0.0026453913
1,0.2020202020,-0.0307293211,-0.1059195347,-0.0705231976,-0.2978648896,1004.8643644351,0.0307244851,0.1058695292,0.9995278916,-0.0032543232
1,0.2525252525,-0.0361318309,-0.1080654103,-0.0855247582,-0.2961184579,1004.8643644351,0.0361239697,0.1079948777,0.9993473164,-0.0039037516
1,0.3030303030,-0.0416496682,-0.1104874628,-0.1004263359,-0.2939077707,1004.8643644351,0.0416376277,0.1103916457,0.9991327779,-0.0046004358
1,0.3535353535,-0.0472969321,-0.1131917758,-0.1152048367,-0.2912471962,1004.8643644351,0.0472793002,0.1130651944,0.9988817086,-0.0053516279
1,0.4040404040,-0.0530880466,-0.1161851349,-0.1298379492,-0.2881533467,1004.8643644351,0.0530631134,0.1160214487,0.9985911606,-0.0061651450
1,0.4545454545,-0.0590377964,-0.1194750440,-0.1443042571,-0.2846450604,1004.8643644351,0.0590035067,0.1192668916,0.9982577754,-0.0070494466
1,0.5050505051,-0.0651613636,-0.1230697409,-0.1585833514,-0.2807433799,1004.8643644351,0.0651152608,0.1228085560,0.9978777494,-0.0080137183
1,0.5555555556,-0.0714743653,-0.1269782156,-0.1726559412,-0.2764715292,1004.8643644351,0.0714135254,0.1266540142,0.9974467948,-0.0090679620
1,0.6060606061,-0.0779928923,-0.1312102300,-0.1865039628,-0.2718548895,1004.8643644351,0.0779138460,0.1308113635,0.9969600958,-0.0102230936
1,0.6565656566,-0.0847335479,-0.1357763380,-0.2001106885,-0.2669209745,1004.8643644351,0.0846321897,0.1352892078,0.9964122603,-0.0114910488
